,verified,favourites_count,followers_count,friends_count,statuses_count,type
141728705,0,11.0,765.0,510.0,440.0,1.0
141977676,0,7.0,151.0,191.0,138.0,1.0
142392341,0,7.0,332.0,82.0,1414.0,1.0
143017174,0,0.0,18475.0,75.0,174.0,1.0
143172834,0,0.0,11.0,4.0,1455.0,1.0
143174948,0,30.0,459.0,70.0,580.0,1.0
143206291,0,0.0,964.0,978.0,388.0,1.0
143228870,0,4.0,172.0,274.0,461.0,1.0
143385787,0,2.0,353.0,680.0,415.0,1.0
143482785,0,1.0,906.0,353.0,1487.0,1.0
143871216,0,0.0,1.0,0.0,478.0,1.0
143873970,0,56.0,1665.0,1225.0,2617.0,1.0
144044647,0,2.0,283.0,423.0,944.0,1.0
144231642,0,3.0,5631.0,640.0,494.0,1.0
14435582,0,0.0,17.0,7.0,134.0,1.0
144471303,0,22.0,860.0,70.0,1439.0,1.0
144724789,0,0.0,2091.0,646.0,2731.0,1.0
144823433,0,314.0,1838.0,128.0,4565.0,1.0
145278977,0,9.0,992.0,1955.0,146.0,1.0
14558133,0,5.0,2553.0,1393.0,628.0,1.0
145663151,0,8.0,100.0,51.0,343.0,1.0
145911661,0,0.0,3239.0,1641.0,10904.0,1.0
145946428,0,0.0,1.0,0.0,102.0,1.0
145974084,0,0.0,114.0,40.0,3429.0,1.0
146043186,0,2.0,475.0,73.0,252.0,1.0
146316582,0,0.0,3.0,4.0,140.0,1.0
146399880,0,2.0,88.0,121.0,160.0,1.0
146583051,0,1.0,138.0,66.0,157.0,1.0
14707220,0,581.0,10924.0,492.0,3789.0,1.0
147367568,0,12.0,24.0,187.0,133.0,1.0
147602490,0,34.0,995.0,1944.0,147.0,1.0
147715359,0,7.0,209.0,154.0,1238.0,1.0
14787980,0,377.0,28410.0,6961.0,9870.0,1.0
148082848,0,0.0,275.0,367.0,594.0,1.0
148160003,0,653.0,6779.0,7441.0,70926.0,1.0
148436801,0,33.0,11522.0,7943.0,1288.0,1.0
148515485,0,0.0,209.0,308.0,618.0,1.0
148573278,0,3.0,1193.0,25.0,2550.0,1.0
148793140,0,36.0,107.0,100.0,194.0,1.0
148809213,0,41.0,136.0,137.0,274.0,1.0
14986811,0,145.0,71751.0,57150.0,71780.0,1.0
150132424,0,2.0,1364.0,484.0,1823.0,1.0
150255923,0,0.0,7.0,0.0,286.0,1.0
150492924,0,28.0,272.0,352.0,1151.0,1.0
150660859,0,3.0,172.0,158.0,262.0,1.0
1506671,0,598.0,3438.0,284.0,1506.0,1.0
150791798,0,55.0,419.0,179.0,572.0,1.0
150858704,0,0.0,0.0,1.0,289.0,1.0
150941559,0,2.0,49.0,192.0,106.0,1.0
15099160,0,0.0,559.0,105.0,191.0,1.0
151199348,0,1.0,104.0,357.0,246.0,1.0
151514204,0,15.0,2168.0,1492.0,586.0,1.0
15154253,0,1.0,1005.0,86.0,494.0,1.0
151672822,0,7.0,306.0,101.0,183.0,1.0
15167931,0,101.0,1067.0,349.0,1013.0,1.0
152061839,0,4.0,42.0,55.0,268.0,1.0
152068965,0,0.0,77.0,0.0,19152.0,1.0
152074766,0,0.0,39.0,0.0,19121.0,1.0
152203795,0,0.0,29.0,0.0,192.0,1.0
15233132,0,1969.0,29187.0,577.0,15971.0,1.0
15233659,0,713.0,24724.0,1315.0,6074.0,1.0
152428461,0,0.0,221.0,71.0,294.0,1.0
153287549,0,267.0,3982.0,2088.0,3336.0,1.0
153789477,0,0.0,876.0,1735.0,481.0,1.0
15431833,0,12.0,1356.0,1998.0,1280.0,1.0
15447049,0,2.0,273.0,468.0,276.0,1.0
15453666,0,0.0,301.0,8.0,671.0,1.0
154627192,0,0.0,125.0,38.0,26349.0,1.0
156308993,0,0.0,20.0,24.0,457.0,1.0
156478721,0,0.0,164.0,0.0,2411.0,1.0
156533782,0,3.0,336.0,395.0,366.0,1.0
15689698,0,81.0,8769.0,11196.0,78097.0,1.0
156925555,0,92.0,2052.0,1924.0,1005.0,1.0
157260205,0,0.0,38361.0,4.0,6251.0,1.0
158023178,0,2.0,190.0,82.0,154.0,1.0
158057053,0,7.0,275.0,507.0,176.0,1.0
158133563,0,0.0,107.0,0.0,15152.0,1.0
15824798,0,1.0,909.0,156.0,511.0,1.0
15834994,0,5.0,631.0,1513.0,289.0,1.0
15840088,0,8966.0,35971.0,620.0,5798.0,1.0
158522519,0,0.0,261.0,996.0,327.0,1.0
15904720,0,0.0,6235.0,0.0,8262.0,1.0
15936868,0,467.0,12627.0,9067.0,36413.0,1.0
159503178,0,2.0,729.0,2000.0,195.0,1.0
159932995,0,2.0,317.0,443.0,953.0,1.0
16030857,0,2.0,2461.0,3241.0,1254.0,1.0
160715607,0,0.0,26.0,20.0,277.0,1.0
16079569,0,0.0,1466.0,1200.0,387.0,1.0
160933589,0,0.0,29.0,0.0,203.0,1.0
160935065,0,3.0,179.0,246.0,456.0,1.0
16104602,0,3394.0,129450.0,1742.0,34057.0,1.0
16161860,0,278.0,10049.0,9976.0,2607.0,1.0
161704479,0,2.0,143.0,298.0,226.0,1.0
161977232,0,1.0,180.0,350.0,4977.0,1.0
16212975,0,1.0,34.0,15.0,281.0,1.0
163331248,0,0.0,163.0,75.0,223.0,1.0
163419867,0,1.0,39.0,103.0,120.0,1.0
163736405,0,1.0,132.0,162.0,5252.0,1.0
163783846,0,23.0,7777.0,260.0,15136.0,1.0
164063289,0,0.0,187.0,136.0,39999.0,1.0
164451181,0,1.0,1613.0,2051.0,2320.0,1.0
165003480,0,1.0,32.0,103.0,274.0,1.0
16511493,0,1.0,1901.0,1806.0,1126.0,1.0
165326951,0,1.0,35.0,13.0,251.0,1.0
165519648,0,330.0,1571.0,1973.0,1334.0,1.0
165599774,0,0.0,2075.0,2.0,14127.0,1.0
165718204,0,0.0,33.0,137.0,2082.0,1.0
165721657,0,0.0,25.0,15.0,165.0,1.0
165783247,0,0.0,1464.0,688.0,567.0,1.0
166231415,0,0.0,24.0,72.0,211.0,1.0
166531059,0,5.0,723.0,77.0,816.0,1.0
166676493,0,41.0,4728.0,2347.0,4517.0,1.0
167066847,0,61.0,3090.0,956.0,4679.0,1.0
167177238,0,1062.0,5131.0,2004.0,1792.0,1.0
167380232,0,0.0,94.0,65.0,920.0,1.0
167941763,0,0.0,5.0,14.0,442.0,1.0
16797952,0,0.0,69.0,70.0,362.0,1.0
168042658,0,1.0,252.0,1331.0,111.0,1.0
168159159,0,0.0,7552.0,8606.0,9940.0,1.0
168539099,0,0.0,6.0,14.0,447.0,1.0
168560298,0,0.0,106.0,670.0,164.0,1.0
16861311,0,117.0,99728.0,2078.0,34469.0,1.0
168791893,0,20.0,1918.0,2133.0,528.0,1.0
168926005,0,165.0,559.0,513.0,606.0,1.0
16917133,0,0.0,1007.0,784.0,24296.0,1.0
169328250,0,0.0,25.0,21.0,2958.0,1.0
16940043,0,744.0,264.0,222.0,739.0,1.0
16949713,0,0.0,8.0,9.0,3137.0,1.0
169584737,0,0.0,543.0,1.0,350.0,1.0
169738971,0,0.0,81.0,313.0,613.0,1.0
169839878,0,12.0,663.0,627.0,213.0,1.0
169882394,0,151.0,1915.0,1729.0,3895.0,1.0
17098149,0,0.0,81.0,84.0,1801.0,1.0
17098856,0,0.0,68.0,72.0,2223.0,1.0
171127733,0,77.0,158.0,135.0,229.0,1.0
17151912,0,0.0,16.0,26.0,600.0,1.0
171536462,0,0.0,855.0,193.0,3995.0,1.0
17155634,0,0.0,48.0,55.0,229.0,1.0
171947540,0,0.0,3.0,2.0,19052.0,1.0
171989084,0,0.0,74.0,306.0,381.0,1.0
172061287,0,33.0,1480.0,1995.0,813.0,1.0
17211783,0,0.0,52.0,57.0,180.0,1.0
17226351,0,0.0,276.0,31.0,3689.0,1.0
17250425,0,0.0,3.0,2.0,261.0,1.0
172640316,0,19.0,4046.0,4969.0,709.0,1.0
17266650,0,2.0,1065.0,1080.0,11603.0,1.0
172681182,0,1883.0,502.0,779.0,2667.0,1.0
17285933,0,0.0,45.0,47.0,423.0,1.0
173034138,0,0.0,12.0,6.0,1089.0,1.0
17328748,0,0.0,1.0,1.0,2187.0,1.0
17342205,0,0.0,51.0,57.0,841.0,1.0
173541242,0,8.0,192.0,439.0,4401.0,1.0
17357556,0,0.0,63.0,69.0,286.0,1.0
17358605,0,0.0,45.0,53.0,605.0,1.0
17370134,0,0.0,59.0,65.0,213.0,1.0
17379905,0,0.0,65.0,72.0,200.0,1.0
17382505,0,0.0,58.0,63.0,272.0,1.0
17386166,0,0.0,65.0,79.0,315.0,1.0
17386408,0,0.0,2.0,0.0,444.0,1.0
17386507,0,0.0,7.0,3.0,533.0,1.0
17395589,0,105.0,416.0,642.0,348.0,1.0
174029763,0,0.0,53.0,23.0,339.0,1.0
17403528,0,0.0,0.0,0.0,870.0,1.0
17403854,0,0.0,5.0,7.0,913.0,1.0
17405727,0,0.0,2.0,4.0,396.0,1.0
17419144,0,0.0,6.0,8.0,349.0,1.0
17433892,0,0.0,65.0,73.0,276.0,1.0
17434605,0,0.0,58.0,61.0,919.0,1.0
17435941,0,0.0,3.0,3.0,230.0,1.0
174379170,0,1.0,1664.0,410.0,10693.0,1.0
17438103,0,0.0,68.0,74.0,344.0,1.0
17440180,0,0.0,4.0,6.0,178.0,1.0
17440264,0,0.0,2.0,0.0,158.0,1.0
17459855,0,0.0,47.0,53.0,482.0,1.0
17461540,0,0.0,83.0,89.0,206.0,1.0
17461687,0,0.0,260.0,409.0,452.0,1.0
17462954,0,0.0,2.0,0.0,563.0,1.0
17478293,0,0.0,4125.0,3805.0,3539.0,1.0
17490169,0,0.0,2.0,0.0,554.0,1.0
175063547,0,0.0,42.0,13.0,299.0,1.0
175088999,0,0.0,8.0,108.0,2801.0,1.0
17555219,0,0.0,0.0,1.0,189.0,1.0
17555899,0,0.0,54.0,64.0,2154.0,1.0
17556324,0,0.0,90.0,112.0,1299.0,1.0
175708002,0,0.0,21.0,337.0,126.0,1.0
17585700,0,0.0,62.0,68.0,133.0,1.0
176332274,0,0.0,57.0,116.0,555.0,1.0
176391979,0,19.0,454.0,283.0,779.0,1.0
17662982,0,0.0,238.0,249.0,679.0,1.0
177131044,0,1075.0,1061.0,804.0,5188.0,1.0
177597478,0,171.0,531.0,452.0,1326.0,1.0
178122892,0,11.0,28.0,29.0,204.0,1.0
178827861,0,13.0,226.0,229.0,163.0,1.0
178846636,0,0.0,1.0,8.0,100.0,1.0
178909364,0,0.0,394.0,1932.0,757.0,1.0
179298707,0,0.0,125.0,153.0,150.0,1.0
179746623,0,18.0,3934.0,4273.0,14524.0,1.0
180381223,0,0.0,119.0,565.0,1773.0,1.0
18064246,0,69.0,252.0,11.0,569.0,1.0
18064246,0,69.0,251.0,11.0,569.0,1.0
180802394,0,0.0,201.0,39.0,422.0,1.0
18083793,0,121.0,181.0,288.0,405.0,1.0
181289590,0,0.0,106.0,778.0,140.0,1.0
181751543,0,1.0,35.0,59.0,246.0,1.0
181886998,0,0.0,51.0,83.0,383.0,1.0
181923786,0,216.0,1554.0,1062.0,3752.0,1.0
18251122,0,41.0,1246.0,1987.0,17440.0,1.0
18252796,0,3.0,2758.0,104.0,907.0,1.0
18309197,0,0.0,275.0,223.0,1150.0,1.0
183372530,0,0.0,586.0,1889.0,15.0,1.0
183388997,0,0.0,3.0,0.0,281.0,1.0
183773124,0,0.0,15.0,3.0,15726.0,1.0
184113038,0,0.0,86.0,296.0,648.0,1.0
184260454,0,16.0,12.0,123.0,236.0,1.0
184430214,0,3.0,380.0,523.0,529.0,1.0
184526907,0,0.0,15.0,28.0,223.0,1.0
185285088,0,0.0,104.0,175.0,115.0,1.0
18556585,0,0.0,856.0,0.0,35618.0,1.0
185578524,0,0.0,609.0,1658.0,184.0,1.0
185724214,0,5.0,250.0,763.0,1297.0,1.0
185803078,0,1.0,57.0,209.0,323.0,1.0
18628039,0,0.0,161.0,599.0,1303.0,1.0
18666525,0,1.0,56515.0,7803.0,5930.0,1.0
18666525,0,1.0,56503.0,7802.0,5930.0,1.0
186894573,0,0.0,53.0,37.0,393.0,1.0
187578997,0,4.0,3611.0,3926.0,486.0,1.0
187907757,0,3.0,1039.0,284.0,477.0,1.0
18791013,0,0.0,679.0,1936.0,147.0,1.0
187946292,0,12.0,50851.0,222.0,17071.0,1.0
188020332,0,0.0,266.0,939.0,867.0,1.0
188087070,0,0.0,110.0,3.0,158.0,1.0
18817450,0,77.0,165.0,139.0,1521.0,1.0
188183262,0,2.0,177.0,26.0,1704.0,1.0
188362171,0,17.0,15500.0,6086.0,132.0,1.0
188824629,0,1.0,113.0,364.0,190.0,1.0
18883747,0,23.0,1998.0,0.0,2064.0,1.0
189279839,0,2.0,1139.0,31.0,946.0,1.0
189834469,0,0.0,91.0,991.0,109.0,1.0
18999229,0,800.0,12535.0,1371.0,6099.0,1.0
18999763,0,1687.0,15196.0,2609.0,53779.0,1.0
190497987,0,215.0,10228.0,1192.0,3116.0,1.0
190831692,0,72.0,513.0,367.0,587.0,1.0
191230989,0,0.0,280.0,133.0,217.0,1.0
19140046,0,2.0,67.0,22.0,551.0,1.0
191556694,0,1.0,125.0,384.0,116.0,1.0
191560509,0,0.0,89.0,0.0,989.0,1.0
191984131,0,0.0,18.0,14.0,141.0,1.0
19234590,0,1.0,2215.0,233.0,504.0,1.0
192400637,0,1.0,179.0,45.0,1118.0,1.0
192824094,0,12.0,1528.0,1373.0,1332.0,1.0
193006061,0,10459.0,2574.0,259.0,19796.0,1.0
193020157,0,4.0,371.0,62.0,867.0,1.0
193097537,0,2475.0,563.0,1052.0,7285.0,1.0
193187987,0,2.0,6.0,8.0,130.0,1.0
193542211,0,0.0,240.0,573.0,172.0,1.0
193737616,0,0.0,60.0,11.0,6541.0,1.0
19397341,0,373.0,1308.0,528.0,2346.0,1.0
19407554,0,30.0,648.0,235.0,2159.0,1.0
194255310,0,3.0,282.0,727.0,135.0,1.0
194255310,0,3.0,281.0,727.0,135.0,1.0
194518840,0,1.0,43.0,54.0,374.0,1.0
194610327,0,0.0,2784.0,27.0,209.0,1.0
19531207,0,915.0,2961.0,856.0,3837.0,1.0
195657585,0,0.0,206.0,88.0,729.0,1.0
195954619,0,14.0,216.0,4.0,4196.0,1.0
196154602,0,77.0,316.0,521.0,411.0,1.0
196172612,0,0.0,234.0,1253.0,127.0,1.0
19662404,0,0.0,2949.0,973.0,697.0,1.0
196935628,0,0.0,45.0,173.0,1569.0,1.0
19725169,0,0.0,485.0,430.0,639.0,1.0
197432771,0,11.0,6194.0,233.0,848.0,1.0
197482364,0,1.0,732.0,743.0,1261.0,1.0
197660384,0,442.0,3140.0,2560.0,4094.0,1.0
19796265,0,0.0,999.0,1573.0,1130.0,1.0
198202892,0,0.0,2036.0,2684.0,16345.0,1.0
198413006,0,3.0,37.0,12.0,155.0,1.0
19852484,0,579.0,9923.0,5762.0,3343.0,1.0
19857350,0,4.0,146.0,151.0,291.0,1.0
198715892,0,0.0,181.0,675.0,1272.0,1.0
198781948,0,0.0,76.0,313.0,151.0,1.0
19883353,0,1.0,291.0,160.0,217.0,1.0
198872604,0,9.0,433.0,87.0,1015.0,1.0
199233549,0,89.0,2247.0,2473.0,2440.0,1.0
199721157,0,3.0,20.0,59.0,117.0,1.0
19977809,0,303.0,5807.0,827.0,4111.0,1.0
199813138,0,1177.0,3346.0,423.0,22427.0,1.0
199813138,0,1181.0,3353.0,422.0,22447.0,1.0
199831468,0,604.0,8947.0,481.0,2534.0,1.0
199908748,0,0.0,982.0,1772.0,1195.0,1.0
20040538,0,20.0,1519.0,725.0,2282.0,1.0
200482517,0,8.0,1244.0,1351.0,541.0,1.0
20052491,0,0.0,147.0,139.0,287.0,1.0
200828516,0,26.0,844.0,46.0,4882.0,1.0
201091096,0,0.0,11.0,0.0,776.0,1.0
201270848,0,1.0,374.0,100.0,1668.0,1.0
201333831,0,0.0,2140.0,1132.0,1982.0,1.0
201426716,0,0.0,39.0,1.0,192.0,1.0
201577724,0,0.0,59.0,170.0,157.0,1.0
201922926,0,0.0,270.0,970.0,982.0,1.0
202049007,0,0.0,31.0,143.0,1290.0,1.0
20216848,0,125.0,344.0,168.0,404.0,1.0
202348055,0,15.0,327.0,122.0,511.0,1.0
202576815,0,213.0,490.0,127.0,349.0,1.0
202774656,0,0.0,62.0,94.0,227.0,1.0
202802722,0,63.0,2314.0,121.0,9416.0,1.0
203203298,0,0.0,150.0,1.0,574.0,1.0
203416295,0,2.0,269.0,133.0,635.0,1.0
204270523,0,10.0,311.0,550.0,1617.0,1.0
204312576,0,0.0,49.0,12.0,5782.0,1.0
204340379,0,15.0,225.0,1084.0,185.0,1.0
204414550,0,0.0,80.0,155.0,130.0,1.0
204924170,0,107.0,550.0,631.0,744.0,1.0
205837526,0,0.0,170.0,490.0,123.0,1.0
20595084,0,145.0,1383.0,1771.0,2685.0,1.0
206059930,0,0.0,29.0,55.0,103.0,1.0
206059930,0,0.0,30.0,55.0,103.0,1.0
206223732,0,1.0,556.0,430.0,615.0,1.0
20629728,0,15.0,364.0,557.0,1277.0,1.0
206406422,0,0.0,7.0,0.0,17340.0,1.0
20667354,0,0.0,104.0,6.0,602.0,1.0
20684882,0,75.0,393.0,322.0,433.0,1.0
206857294,0,0.0,8.0,7.0,182.0,1.0
20724267,0,3.0,1943.0,0.0,287.0,1.0
207286017,0,18.0,407.0,471.0,659.0,1.0
207298439,0,83.0,1200.0,1710.0,859.0,1.0
20737168,0,13.0,124.0,137.0,1326.0,1.0
