,verified,favourites_count,followers_count,friends_count,statuses_count,type
139014772,0,3042.0,857.0,1833.0,18759.0,2.0
139016514,0,1432.0,150.0,278.0,5006.0,2.0
13906832,0,135.0,650.0,589.0,1591.0,2.0
139116966,0,352.0,164.0,94.0,1077.0,2.0
139139340,0,195.0,130.0,743.0,4948.0,2.0
139163193,0,3023.0,1224.0,1395.0,6713.0,2.0
1392071,0,167.0,1816.0,833.0,16349.0,2.0
139219259,0,1.0,49.0,153.0,103.0,2.0
139225862,0,177.0,51.0,85.0,1236.0,2.0
139315994,0,56.0,193.0,198.0,14555.0,2.0
139346295,0,45.0,21.0,43.0,1058.0,2.0
139433565,0,0.0,287.0,767.0,553.0,2.0
139433565,0,0.0,288.0,767.0,553.0,2.0
139451537,0,2.0,82.0,30.0,278.0,2.0
139453188,0,14.0,76.0,193.0,1412.0,2.0
139480269,0,38.0,528.0,1055.0,426.0,2.0
139491113,0,334.0,55.0,121.0,707.0,2.0
139517695,0,1.0,258.0,685.0,3494.0,2.0
139551597,0,0.0,6.0,24.0,123.0,2.0
139553487,0,488.0,169.0,240.0,4852.0,2.0
139610449,0,3.0,156.0,496.0,1613.0,2.0
139621832,0,522.0,231.0,1994.0,240.0,2.0
139645458,0,479.0,416.0,1961.0,319.0,2.0
139654166,0,0.0,5.0,14.0,168.0,2.0
139686829,0,35.0,190.0,266.0,1198.0,2.0
139701373,0,5.0,191.0,30.0,1356.0,2.0
139747058,0,1167.0,438.0,533.0,1986.0,2.0
139758844,0,212.0,445.0,291.0,33730.0,2.0
139766984,0,109.0,26.0,236.0,172.0,2.0
139827027,0,244.0,66.0,367.0,142.0,2.0
139861474,0,80.0,125.0,91.0,409.0,2.0
139875019,0,2500.0,351.0,1027.0,5813.0,2.0
139922864,0,39.0,20.0,92.0,466.0,2.0
139977112,0,10.0,99.0,53.0,699.0,2.0
139990449,0,49.0,92.0,180.0,303.0,2.0
140062770,0,0.0,78.0,124.0,370.0,2.0
140084567,0,50.0,103.0,279.0,1711.0,2.0
140084567,0,50.0,105.0,279.0,1711.0,2.0
140116901,0,71.0,103.0,152.0,1663.0,2.0
140143237,0,7.0,415.0,1140.0,796.0,2.0
140155847,0,5018.0,106.0,89.0,10643.0,2.0
14016742,0,2830.0,767.0,1192.0,2418.0,2.0
140175896,0,528.0,724.0,268.0,31297.0,2.0
140244312,0,1.0,121.0,217.0,1530.0,2.0
140362817,0,0.0,19.0,31.0,1583.0,2.0
140374399,0,9365.0,1084.0,324.0,25565.0,2.0
140381606,0,338.0,698.0,475.0,13238.0,2.0
140385365,0,18.0,156.0,261.0,5030.0,2.0
140505715,0,3.0,6.0,36.0,129.0,2.0
140511267,0,7036.0,552.0,183.0,5609.0,2.0
140520794,0,410.0,161.0,116.0,12746.0,2.0
140538040,0,45.0,20.0,218.0,477.0,2.0
140597351,0,22.0,50.0,53.0,531.0,2.0
140642656,0,348.0,73.0,198.0,505.0,2.0
140704871,0,1.0,3.0,47.0,584.0,2.0
14070943,0,211.0,158.0,267.0,3492.0,2.0
140710075,0,7.0,80.0,65.0,453.0,2.0
140749964,0,365.0,980.0,820.0,45876.0,2.0
140763056,0,35.0,6037.0,1016.0,1730.0,2.0
140791633,0,3.0,117.0,165.0,152.0,2.0
140820269,0,11.0,164.0,607.0,369.0,2.0
140820269,0,11.0,164.0,609.0,369.0,2.0
14082466,0,1249.0,4182.0,1860.0,7396.0,2.0
140838755,0,12.0,37.0,122.0,1761.0,2.0
140855719,0,27.0,292.0,290.0,3763.0,2.0
140904496,0,4.0,396.0,479.0,250.0,2.0
140946896,0,1.0,29.0,339.0,113.0,2.0
140951516,0,96.0,1085.0,1985.0,587.0,2.0
140958034,0,5473.0,244.0,351.0,4086.0,2.0
14097997,0,18.0,934.0,443.0,2699.0,2.0
141061902,0,5.0,49.0,177.0,1467.0,2.0
141087018,0,1650.0,188.0,217.0,4921.0,2.0
141095309,0,8.0,77.0,219.0,790.0,2.0
14112439,0,46.0,456.0,757.0,3860.0,2.0
14116170,0,1995.0,728.0,457.0,5907.0,2.0
141176910,0,33.0,552.0,475.0,1633.0,2.0
141183120,0,474.0,1201.0,1641.0,2324.0,2.0
14118928,0,37.0,1104.0,306.0,2430.0,2.0
141250344,0,1184.0,503.0,380.0,55193.0,2.0
141264438,0,14302.0,274.0,505.0,4649.0,2.0
14126660,0,15.0,239.0,640.0,525.0,2.0
141267493,0,4.0,496.0,384.0,548.0,2.0
14127032,0,204.0,71.0,497.0,850.0,2.0
141339555,0,140.0,52.0,143.0,1143.0,2.0
141343180,0,6.0,11.0,180.0,259.0,2.0
14136172,0,17.0,161.0,527.0,840.0,2.0
141361939,0,44.0,49.0,325.0,238.0,2.0
141444885,0,803.0,432.0,890.0,16529.0,2.0
141460908,0,25.0,391.0,353.0,3333.0,2.0
14147547,0,77.0,53.0,182.0,674.0,2.0
14149126,0,4.0,76.0,63.0,718.0,2.0
141547190,0,71.0,20.0,13.0,166.0,2.0
141561755,0,1254.0,253.0,199.0,3893.0,2.0
141566144,0,4.0,116.0,192.0,1299.0,2.0
14164681,0,0.0,152.0,169.0,466.0,2.0
14164829,0,0.0,156.0,350.0,2280.0,2.0
141657561,0,5.0,23.0,32.0,1999.0,2.0
141679472,0,0.0,5779.0,1063.0,437.0,2.0
141708631,0,32.0,2658.0,1266.0,26772.0,2.0
141718704,0,54.0,483.0,1581.0,5282.0,2.0
14180269,0,21.0,10042.0,480.0,13435.0,2.0
14183792,0,0.0,149.0,535.0,265.0,2.0
141853027,0,13.0,35.0,81.0,310.0,2.0
141884364,0,13.0,141.0,125.0,2892.0,2.0
14192720,0,1.0,220.0,60.0,289.0,2.0
141946809,0,480.0,160.0,148.0,3200.0,2.0
142037065,0,2186.0,960.0,608.0,36167.0,2.0
142047966,0,219.0,197.0,530.0,324.0,2.0
142096548,0,1319.0,132.0,182.0,3288.0,2.0
142100527,0,280.0,95.0,174.0,588.0,2.0
