,verified,favourites_count,followers_count,friends_count,statuses_count,type
106604891,0,366.0,752.0,941.0,22074.0,2.0
106615314,0,301.0,124.0,274.0,2808.0,2.0
106699545,0,111.0,59.0,669.0,1407.0,2.0
106724409,0,141.0,465.0,1383.0,563.0,2.0
106731403,0,0.0,6.0,0.0,358.0,2.0
106763553,0,94.0,96.0,140.0,2268.0,2.0
106821898,0,13.0,210.0,228.0,511.0,2.0
106829723,0,2.0,162.0,161.0,723.0,2.0
106867240,0,1568.0,335.0,303.0,21586.0,2.0
106888759,0,14.0,355.0,284.0,4245.0,2.0
106908652,0,232.0,343.0,248.0,4709.0,2.0
106946580,0,1966.0,1.0,2.0,8178.0,2.0
106951937,0,144.0,131.0,461.0,4616.0,2.0
106952031,0,73.0,724.0,1266.0,5293.0,2.0
106995567,0,0.0,44.0,22.0,263.0,2.0
107032828,0,48.0,309.0,210.0,55094.0,2.0
107098968,0,13.0,15.0,125.0,119.0,2.0
107175518,0,43.0,66.0,267.0,211.0,2.0
107247250,0,17.0,338.0,402.0,603.0,2.0
107289372,0,10.0,96.0,285.0,1166.0,2.0
107292199,0,99.0,37.0,320.0,480.0,2.0
107296573,0,68.0,57.0,74.0,161.0,2.0
107402292,0,4.0,71.0,186.0,246.0,2.0
107470915,0,100.0,798.0,513.0,23303.0,2.0
107630714,0,565.0,5391.0,4594.0,61828.0,2.0
107687344,0,7777.0,300.0,1816.0,32601.0,2.0
107746203,0,0.0,292.0,665.0,104.0,2.0
107783251,0,5086.0,388.0,398.0,16314.0,2.0
10778972,0,272.0,1235.0,1999.0,61806.0,2.0
107803350,0,5574.0,396.0,372.0,14162.0,2.0
107945779,0,17.0,424.0,348.0,30398.0,2.0
107945790,0,101.0,2382.0,860.0,25491.0,2.0
107969152,0,0.0,165.0,179.0,885.0,2.0
108015253,0,1151.0,78.0,139.0,1885.0,2.0
108020842,0,90.0,119.0,384.0,920.0,2.0
108025426,0,22.0,1719.0,183.0,13001.0,2.0
108027069,0,12.0,91.0,900.0,244.0,2.0
108141565,0,405.0,921.0,1036.0,8108.0,2.0
108158277,0,169.0,337.0,436.0,7951.0,2.0
108174583,0,25.0,10.0,25.0,427.0,2.0
108174767,0,0.0,8.0,14.0,244.0,2.0
108233309,0,39.0,453.0,578.0,5848.0,2.0
108290411,0,8.0,64.0,101.0,253.0,2.0
108351165,0,75.0,191.0,515.0,137.0,2.0
108373625,0,44.0,673.0,1267.0,22930.0,2.0
108389231,0,91.0,48.0,329.0,1909.0,2.0
108464373,0,265.0,56.0,220.0,793.0,2.0
108471753,0,4.0,592.0,1906.0,297.0,2.0
108483795,0,773.0,53.0,120.0,2723.0,2.0
108487889,0,369.0,135.0,157.0,11616.0,2.0
10849002,0,18.0,1262.0,380.0,2011.0,2.0
108517360,0,67.0,1496.0,1192.0,7813.0,2.0
108539448,0,140.0,41.0,155.0,451.0,2.0
108543818,0,38.0,2517.0,901.0,24460.0,2.0
108555460,0,0.0,45.0,90.0,230.0,2.0
108649102,0,0.0,522.0,862.0,601.0,2.0
108665791,0,147.0,56.0,125.0,595.0,2.0
108677333,0,3.0,10.0,31.0,194.0,2.0
108688210,0,149.0,527.0,1369.0,1752.0,2.0
108718128,0,564.0,133.0,1031.0,1593.0,2.0
10875,0,156.0,503.0,1106.0,4546.0,2.0
10876182,0,94.0,148.0,431.0,592.0,2.0
108786953,0,1651.0,88.0,114.0,2127.0,2.0
108789227,0,6.0,148.0,230.0,1785.0,2.0
108792805,0,195.0,178.0,293.0,1680.0,2.0
108832036,0,101.0,623.0,1615.0,2233.0,2.0
108841575,0,1092.0,220.0,515.0,4396.0,2.0
108845310,0,7.0,92.0,94.0,2151.0,2.0
108916410,0,3.0,35.0,41.0,440.0,2.0
108949965,0,16.0,357.0,498.0,132384.0,2.0
109084436,0,1628.0,231.0,91.0,25304.0,2.0
109088843,0,2.0,217.0,238.0,1169.0,2.0
109114758,0,1126.0,944.0,1998.0,6314.0,2.0
109141685,0,115.0,160.0,200.0,835.0,2.0
109177690,0,1.0,28.0,81.0,476.0,2.0
109203986,0,370.0,974.0,2001.0,8246.0,2.0
109214595,0,3.0,469.0,1839.0,5628.0,2.0
109223160,0,12.0,288.0,231.0,3721.0,2.0
109266194,0,4.0,89.0,119.0,17974.0,2.0
109273823,0,0.0,55.0,85.0,111.0,2.0
109345316,0,302.0,80.0,159.0,3019.0,2.0
109371379,0,21.0,58.0,77.0,217.0,2.0
109377360,0,2467.0,386.0,281.0,2642.0,2.0
109421343,0,6681.0,66.0,86.0,6790.0,2.0
109430917,0,8.0,372.0,670.0,382.0,2.0
109475254,0,7257.0,324.0,203.0,37890.0,2.0
109559521,0,80.0,461.0,941.0,18255.0,2.0
109588639,0,0.0,159.0,104.0,912.0,2.0
109610433,0,38.0,255.0,439.0,5318.0,2.0
10961572,0,25.0,306.0,436.0,2367.0,2.0
109695784,0,3045.0,437.0,370.0,27754.0,2.0
109696691,0,1748.0,577.0,98.0,4882.0,2.0
109702967,0,3.0,77.0,327.0,360.0,2.0
10976002,0,377.0,542.0,259.0,8611.0,2.0
109813392,0,105.0,580.0,324.0,6891.0,2.0
109837960,0,2.0,185.0,104.0,1504.0,2.0
109956195,0,1583.0,560.0,563.0,48060.0,2.0
109965448,0,1585.0,427.0,409.0,7383.0,2.0
109986772,0,124.0,742.0,984.0,1843.0,2.0
110023981,0,118.0,153.0,225.0,460.0,2.0
110032662,0,656.0,187.0,670.0,2148.0,2.0
11005202,0,0.0,55.0,49.0,257.0,2.0
110073655,0,1.0,69.0,171.0,208.0,2.0
110148082,0,1.0,297.0,384.0,4945.0,2.0
110178434,0,47.0,1743.0,1757.0,17758.0,2.0
110231574,0,9.0,17.0,26.0,378.0,2.0
110245954,0,3073.0,206.0,133.0,666.0,2.0
11026992,0,976.0,259.0,371.0,5465.0,2.0
110304070,0,18.0,27.0,116.0,802.0,2.0
110309556,0,0.0,14.0,75.0,109.0,2.0
110314361,0,8400.0,416.0,630.0,4428.0,2.0
110367963,0,1.0,553.0,162.0,7535.0,2.0
110444325,0,1537.0,318.0,405.0,11090.0,2.0
110461287,0,23.0,57.0,123.0,1016.0,2.0
110463362,0,2.0,58.0,92.0,399.0,2.0
110469987,0,33.0,194.0,171.0,2352.0,2.0
110514253,0,14.0,157.0,217.0,1538.0,2.0
110517465,0,1.0,11214.0,110.0,985.0,2.0
110542742,0,355.0,91.0,515.0,285.0,2.0
110571555,0,39.0,700.0,94.0,19416.0,2.0
110627725,0,73.0,388.0,366.0,6982.0,2.0
110643517,0,8.0,197.0,307.0,1990.0,2.0
110652672,0,234.0,686.0,338.0,26055.0,2.0
110659382,0,19.0,189.0,153.0,10061.0,2.0
110661492,0,30.0,46.0,288.0,238.0,2.0
110663904,0,25.0,349.0,388.0,884.0,2.0
110671419,0,151.0,779.0,367.0,39247.0,2.0
110681130,0,1307.0,57.0,78.0,11946.0,2.0
110685468,0,5.0,360.0,364.0,1007.0,2.0
110799060,0,11688.0,931.0,1357.0,32971.0,2.0
110802283,0,6258.0,710.0,438.0,5032.0,2.0
110848245,0,557.0,821.0,766.0,74282.0,2.0
110862585,0,230.0,93.0,120.0,646.0,2.0
110885977,0,47.0,579.0,502.0,4553.0,2.0
110936012,0,17.0,202.0,555.0,9217.0,2.0
110960112,0,1521.0,78.0,272.0,2866.0,2.0
110961612,0,584.0,49.0,117.0,375.0,2.0
110962162,0,52.0,151.0,152.0,1472.0,2.0
110975555,0,1.0,177.0,350.0,283.0,2.0
111019084,0,10.0,55.0,149.0,249.0,2.0
111097498,0,2.0,49.0,425.0,187.0,2.0
111114452,0,635.0,63.0,412.0,8208.0,2.0
111117148,0,211.0,325.0,368.0,13025.0,2.0
111154073,0,5271.0,238.0,1993.0,4143.0,2.0
111187118,0,132.0,3807.0,398.0,18629.0,2.0
111221054,0,235.0,3277.0,1920.0,2582.0,2.0
111285620,0,0.0,2.0,12.0,193.0,2.0
111348702,0,13.0,169.0,547.0,214.0,2.0
111350453,0,38.0,34.0,214.0,928.0,2.0
111357291,0,19.0,515.0,74.0,1231.0,2.0
111381377,0,3.0,7.0,24.0,116.0,2.0
111383314,0,0.0,62.0,37.0,11907.0,2.0
111395379,0,47.0,238.0,207.0,3456.0,2.0
111397044,0,3.0,196.0,177.0,706.0,2.0
11142612,0,388.0,303.0,571.0,1812.0,2.0
111427894,0,8.0,317.0,273.0,13260.0,2.0
